Defect_ID,Project,Phase,Module,Severity,Priority,Status,Root_Cause,Operating_System,Created_Date,Closed_Date,Is_Closed,Resolution_Time,Defect_Age,Data_Quality_Flag
SCGCQ02919,C,Final Release,Application,Severity 1,Medium,Open,Change Request,Linux,05-05-2023,26-05-2023,1,21,850,0
SCGCQ03034,B,Integration 1,FW,Severity 3,Medium,In Progress,Product Request,SLES,10-04-2023,21-05-2023,1,41,875,0
SCGCQ04222,C,System Test,Application,Severity 4,Low,Closed,Code Integration,Ubuntu,09-03-2023,08-04-2023,1,30,907,0
SCGCQ01487,B,System Test,BIOS,Severity 1,High,Re-open,Change Request,Pre-Boot,03-01-2023,01-02-2023,1,29,972,0
SCGCQ03409,D,BST,Driver,Severity 3,Low,Re-open,FW Integration,Ubuntu,25-06-2023,,0,,799,0
SCGCQ01305,D,System Test,FW,Severity 2,Low,In Progress,,Windows,01-12-2023,,0,,640,0
SCGCQ04246,C,Final Release,FW,Severity 3,High,Closed,FW Integration,Ubuntu,18-12-2023,07-02-2024,1,51,623,0
SCGCQ03509,D,System Test,Server Specific,Severity 3,High,Deferred,Change Request,RHEL,06-03-2023,,0,,910,0
SCGCQ02829,B,Final Release,Driver,Severity 3,High,Closed,Product Request,Linux,07-08-2023,21-08-2023,1,14,756,0
SCGCQ01958,D,Integration 2,Server Specific,Severity 1,Medium,Deferred,Product Request,RHEL,04-09-2023,,0,,728,0
SCGCQ02714,E,Integration 1,Application,Severity 3,Low,In Progress,OS-specific,Windows,25-03-2023,26-04-2023,1,32,891,0
SCGCQ02367,B,Integration 1,FW,Severity 1,Medium,Open,,Windows,19-09-2023,14-10-2023,1,25,713,0
SCGCQ00978,E,System Test,Driver,Severity 1,Medium,Closed,Code Integration,RHEL,16-03-2023,11-04-2023,1,26,900,0
SCGCQ03242,E,Integration 2,FW,Severity 3,High,In Progress,Product Request,RHEL,15-04-2023,02-05-2023,1,17,870,0
SCGCQ04825,A,Integration 2,Driver,Severity 2,Low,Deferred,Driver,SLES,18-07-2023,,0,,776,0
SCGCQ00437,B,System Test,BIOS,Severity 3,High,Deferred,Code Integration,SLES,10-05-2023,,0,,845,0
SCGCQ00129,C,Integration 2,FW,Severity 4,Medium,Deferred,,Windows,18-09-2023,,0,,714,0
SCGCQ03533,A,Integration 1,FW,Severity 1,Medium,In Progress,FW Integration,Pre-Boot,29-09-2023,,0,,703,0
SCGCQ00881,D,Final Release,Server Specific,Severity 2,Low,Open,Code Integration,RHEL,11-02-2023,03-04-2023,1,51,933,0
SCGCQ02537,D,Final Release,FW,Severity 2,Low,In Progress,Driver,SLES,30-09-2023,10-11-2023,1,41,702,0
SCGCQ04723,D,BST,Application,Severity 2,High,Deferred,Driver,RHEL,13-03-2023,,0,,903,0
SCGCQ00831,D,Integration 2,Driver,Severity 3,High,In Progress,Driver,RHEL,08-04-2023,05-06-2023,1,58,877,0
SCGCQ02705,B,Final Release,Application,Severity 4,High,In Progress,Driver,Linux,04-05-2023,09-05-2023,1,5,851,0
SCGCQ00479,E,BST,Application,Severity 2,Medium,In Progress,Product Request,Pre-Boot,21-09-2023,28-10-2023,1,37,711,0
SCGCQ04842,A,Final Release,Application,Severity 1,Low,Re-open,Product Request,Ubuntu,19-05-2023,07-06-2023,1,19,836,0
SCGCQ02608,D,Integration 2,BIOS,Severity 1,Medium,Closed,Driver,Windows,17-08-2023,16-09-2023,1,30,746,0
SCGCQ04703,E,BST,Server Specific,Severity 1,Medium,Deferred,Product Request,RHEL,08-01-2023,09-01-2023,1,1,967,0
SCGCQ04367,D,Final Release,Driver,Severity 3,High,Re-open,OS-specific,RHEL,06-05-2023,,0,,849,0
SCGCQ00703,A,BST,Application,Severity 2,Low,In Progress,Driver,Windows,21-07-2023,22-08-2023,1,32,773,0
SCGCQ04470,A,BST,Application,Severity 1,Low,Re-open,,SLES,17-04-2023,10-05-2023,1,23,868,0
SCGCQ00570,C,System Test,Application,Severity 1,Medium,Deferred,Change Request,SLES,07-01-2023,20-01-2023,1,13,968,0
SCGCQ04010,C,Final Release,BIOS,Severity 3,Medium,Open,Driver,Windows,12-02-2023,17-02-2023,1,5,932,0
SCGCQ04027,B,Final Release,Driver,Severity 4,Medium,In Progress,Code Integration,Windows,09-01-2023,28-01-2023,1,19,966,0
SCGCQ01967,B,System Test,Driver,Severity 2,High,Closed,Driver,Pre-Boot,01-03-2023,10-03-2023,1,9,915,0
SCGCQ03682,D,System Test,Driver,Severity 2,High,In Progress,,Windows,23-01-2023,,0,,952,0
SCGCQ02681,C,Integration 1,BIOS,Severity 4,Low,Deferred,Code Integration,RHEL,01-04-2023,20-05-2023,1,49,884,0
SCGCQ04178,E,Final Release,Driver,Severity 1,Low,Re-open,Product Request,SLES,06-12-2023,10-12-2023,1,4,635,0
SCGCQ03033,E,Integration 1,Server Specific,Severity 2,High,Deferred,Driver,SLES,27-02-2023,26-03-2023,1,27,917,0
SCGCQ01079,A,Integration 2,Application,Severity 4,Low,Re-open,Driver,Pre-Boot,14-06-2023,24-07-2023,1,40,810,0
SCGCQ01668,E,System Test,BIOS,Severity 3,Medium,In Progress,Change Request,Pre-Boot,11-05-2023,,0,,844,0
SCGCQ01173,D,Integration 2,Application,Severity 3,High,Re-open,Driver,Pre-Boot,08-11-2023,29-11-2023,1,21,663,0
SCGCQ01231,C,Integration 1,Server Specific,Severity 1,High,Re-open,FW Integration,Pre-Boot,24-04-2023,09-06-2023,1,46,861,0
SCGCQ04260,C,Integration 1,Application,Severity 4,High,In Progress,Product Request,Linux,09-09-2023,26-10-2023,1,47,723,0
SCGCQ00387,E,BST,BIOS,Severity 4,Low,In Progress,Change Request,Pre-Boot,01-08-2023,21-09-2023,1,51,762,0
SCGCQ01877,E,BST,Application,Severity 2,Low,In Progress,Change Request,Ubuntu,13-02-2023,13-04-2023,1,59,931,0
SCGCQ00356,E,BST,BIOS,Severity 2,Low,Deferred,Driver,Ubuntu,09-09-2023,,0,,723,0
SCGCQ04680,D,Integration 2,Driver,Severity 1,High,Open,OS-specific,RHEL,05-11-2023,,0,,666,0
SCGCQ00974,C,BST,BIOS,Severity 1,High,Open,,Windows,09-10-2023,31-10-2023,1,22,693,0
SCGCQ04647,B,Integration 2,FW,Severity 3,Low,Deferred,Driver,SLES,21-01-2023,,0,,954,0
SCGCQ00892,D,System Test,Application,Severity 4,Low,Deferred,OS-specific,RHEL,06-08-2023,24-08-2023,1,18,757,0
SCGCQ03041,D,BST,FW,Severity 4,Medium,In Progress,OS-specific,Pre-Boot,08-06-2023,,0,,816,0
SCGCQ04702,A,Integration 1,FW,Severity 1,Medium,Deferred,,RHEL,22-08-2023,11-10-2023,1,50,741,0
SCGCQ01239,C,Final Release,Server Specific,Severity 3,Low,Deferred,Change Request,Pre-Boot,16-10-2023,17-11-2023,1,32,686,0
SCGCQ02601,A,Integration 1,Application,Severity 4,Medium,In Progress,OS-specific,RHEL,13-11-2023,26-11-2023,1,13,658,0
SCGCQ02085,D,System Test,Application,Severity 4,Medium,Open,OS-specific,RHEL,17-08-2023,21-08-2023,1,4,746,0
SCGCQ03604,C,BST,Application,Severity 1,Low,Re-open,Change Request,Ubuntu,08-07-2023,09-07-2023,1,1,786,0
SCGCQ02223,B,System Test,Application,Severity 4,High,Deferred,FW Integration,Ubuntu,23-05-2023,,0,,832,0
SCGCQ03965,B,System Test,FW,Severity 2,High,Re-open,FW Integration,Linux,03-04-2023,28-05-2023,1,55,882,0
SCGCQ01973,D,Integration 2,Application,Severity 2,High,In Progress,Product Request,Windows,01-08-2023,27-08-2023,1,26,762,0
SCGCQ02002,B,Final Release,Driver,Severity 4,High,Open,Change Request,Linux,21-01-2023,01-02-2023,1,11,954,0
SCGCQ02875,A,Integration 1,Driver,Severity 4,Low,Deferred,Product Request,RHEL,18-05-2023,26-05-2023,1,8,837,0
SCGCQ01999,E,Integration 2,Application,Severity 3,High,Closed,Driver,Windows,09-01-2023,03-03-2023,1,53,966,0
SCGCQ04118,C,System Test,BIOS,Severity 3,Medium,Deferred,FW Integration,Windows,20-09-2023,,0,,712,0
SCGCQ03665,D,BST,Driver,Severity 3,Low,In Progress,Driver,Linux,24-06-2023,,0,,800,0
SCGCQ00737,E,BST,Server Specific,Severity 1,Medium,Deferred,Product Request,Ubuntu,26-07-2023,,0,,768,0
SCGCQ03417,C,System Test,BIOS,Severity 2,High,In Progress,Product Request,Windows,20-09-2023,24-10-2023,1,34,712,0
SCGCQ03588,C,Integration 2,FW,Severity 4,Low,In Progress,Product Request,RHEL,11-09-2023,,0,,721,0
SCGCQ03982,C,System Test,FW,Severity 1,High,In Progress,Code Integration,SLES,10-03-2023,05-04-2023,1,26,906,0
SCGCQ03261,A,Integration 1,BIOS,Severity 4,Medium,In Progress,,Ubuntu,27-01-2023,,0,,948,0
SCGCQ01122,D,Integration 1,Server Specific,Severity 3,High,Open,Code Integration,Ubuntu,12-01-2023,06-02-2023,1,25,963,0
SCGCQ03693,D,Integration 2,FW,Severity 4,High,In Progress,Product Request,Ubuntu,23-03-2023,,0,,893,0
SCGCQ01286,D,Integration 1,BIOS,Severity 4,Medium,Re-open,Driver,SLES,01-01-2023,30-01-2023,1,29,974,0
SCGCQ01175,B,Integration 1,Server Specific,Severity 3,High,Open,Product Request,RHEL,27-08-2023,15-09-2023,1,19,736,0
SCGCQ04755,B,Integration 1,BIOS,Severity 3,High,Deferred,,Windows,08-06-2023,29-07-2023,1,51,816,0
SCGCQ03084,C,BST,FW,Severity 2,Medium,Closed,FW Integration,Ubuntu,16-08-2023,18-08-2023,1,2,747,0
SCGCQ04591,A,System Test,Driver,Severity 3,Medium,Re-open,OS-specific,RHEL,16-02-2023,03-04-2023,1,46,928,0
SCGCQ03026,E,Integration 1,FW,Severity 4,High,Deferred,FW Integration,SLES,06-03-2023,28-03-2023,1,22,910,0
SCGCQ04426,A,System Test,Server Specific,Severity 4,Low,Open,Driver,SLES,05-10-2023,28-10-2023,1,23,697,0
SCGCQ00355,B,Integration 1,FW,Severity 1,Low,Re-open,Driver,Ubuntu,25-05-2023,15-06-2023,1,21,830,0
SCGCQ00975,B,BST,FW,Severity 1,Low,In Progress,Code Integration,Linux,18-06-2023,,0,,806,0
SCGCQ04648,A,Integration 2,Driver,Severity 3,Low,Deferred,Product Request,Pre-Boot,26-08-2023,15-10-2023,1,50,737,0
SCGCQ00927,E,Integration 2,Server Specific,Severity 1,High,Closed,OS-specific,Pre-Boot,19-09-2023,08-10-2023,1,19,713,0
SCGCQ03217,E,System Test,Driver,Severity 1,Medium,Re-open,Product Request,SLES,29-08-2023,28-10-2023,1,60,734,0
SCGCQ00586,B,System Test,FW,Severity 1,Medium,In Progress,Product Request,Pre-Boot,17-07-2023,12-09-2023,1,57,777,0
SCGCQ01769,B,BST,FW,Severity 4,High,In Progress,Code Integration,Linux,31-07-2023,29-09-2023,1,60,763,0
SCGCQ02763,A,BST,Driver,Severity 3,Low,Deferred,,Pre-Boot,05-04-2023,16-04-2023,1,11,880,0
SCGCQ03927,A,Integration 2,Driver,Severity 4,Low,Re-open,,SLES,22-12-2023,17-02-2024,1,57,619,0
SCGCQ03266,C,Integration 1,Application,Severity 3,Medium,Deferred,FW Integration,SLES,02-02-2023,16-03-2023,1,42,942,0
SCGCQ00079,D,Integration 1,Driver,Severity 2,Low,Re-open,Code Integration,Windows,19-07-2023,,0,,775,0
SCGCQ02054,C,Integration 1,Driver,Severity 3,Medium,Closed,Code Integration,Windows,24-01-2023,04-02-2023,1,11,951,0
SCGCQ04908,D,Final Release,Driver,Severity 1,Low,Open,FW Integration,Pre-Boot,17-04-2023,25-05-2023,1,38,868,0
SCGCQ01818,A,Final Release,Application,Severity 4,Low,In Progress,Change Request,Pre-Boot,25-07-2023,28-07-2023,1,3,769,0
SCGCQ02642,D,Final Release,BIOS,Severity 4,Medium,Re-open,Code Integration,Ubuntu,24-07-2023,02-09-2023,1,40,770,0
SCGCQ04773,B,Integration 1,Driver,Severity 2,Low,Deferred,,Ubuntu,12-11-2023,,0,,659,0
SCGCQ02644,B,Integration 2,BIOS,Severity 4,Low,Re-open,FW Integration,RHEL,19-10-2023,08-12-2023,1,50,683,0
SCGCQ04340,D,BST,FW,Severity 3,High,In Progress,Code Integration,Pre-Boot,23-06-2023,04-08-2023,1,42,801,0
SCGCQ02203,A,System Test,Application,Severity 1,Low,In Progress,Driver,Linux,18-03-2023,,0,,898,0
SCGCQ04998,C,Final Release,BIOS,Severity 1,High,Deferred,FW Integration,SLES,20-10-2023,,0,,682,0
SCGCQ04973,A,System Test,Application,Severity 1,High,Open,Change Request,Linux,29-05-2023,30-05-2023,1,1,826,0
SCGCQ02438,C,Final Release,Server Specific,Severity 4,Medium,Re-open,OS-specific,Linux,15-01-2023,02-02-2023,1,18,960,0
SCGCQ00587,B,Final Release,Server Specific,Severity 2,Medium,Re-open,Change Request,Windows,29-03-2023,,0,,887,0
SCGCQ04154,C,System Test,Server Specific,Severity 1,Medium,Open,Code Integration,RHEL,06-03-2023,02-05-2023,1,57,910,0
SCGCQ01587,B,Final Release,Application,Severity 2,High,Re-open,Driver,Ubuntu,18-12-2023,,0,,623,0
SCGCQ03653,D,Integration 1,Driver,Severity 3,Low,Open,Code Integration,RHEL,19-10-2023,01-11-2023,1,13,683,0
SCGCQ00411,B,Integration 2,Application,Severity 2,Low,Re-open,Change Request,Pre-Boot,02-06-2023,18-06-2023,1,16,822,0
SCGCQ02042,E,System Test,Server Specific,Severity 4,Medium,Re-open,OS-specific,SLES,21-12-2023,27-12-2023,1,6,620,0
SCGCQ02792,A,System Test,Server Specific,Severity 4,Low,Open,Driver,RHEL,30-01-2023,,0,,945,0
SCGCQ00066,B,BST,Application,Severity 1,Medium,Open,FW Integration,Windows,04-08-2023,28-09-2023,1,55,759,0
SCGCQ01735,E,Integration 1,Driver,Severity 1,Low,In Progress,Driver,RHEL,21-04-2023,,0,,864,0
SCGCQ04289,B,Integration 2,Application,Severity 2,Low,Closed,Change Request,Ubuntu,15-02-2023,01-03-2023,1,14,929,0
SCGCQ03401,D,BST,Driver,Severity 4,High,Deferred,FW Integration,SLES,26-11-2023,17-01-2024,1,52,645,0
SCGCQ02084,C,BST,Server Specific,Severity 1,Medium,Re-open,Product Request,Windows,16-06-2023,04-07-2023,1,18,808,0
SCGCQ02778,C,BST,FW,Severity 2,High,In Progress,Code Integration,Ubuntu,17-02-2023,05-04-2023,1,47,927,0
SCGCQ03437,B,BST,Driver,Severity 2,Low,Deferred,Code Integration,SLES,07-02-2023,26-02-2023,1,19,937,0
SCGCQ04047,D,System Test,Server Specific,Severity 4,Medium,Open,,Linux,17-10-2023,,0,,685,0
SCGCQ01601,D,Integration 1,FW,Severity 2,Low,In Progress,Driver,SLES,26-01-2023,19-03-2023,1,52,949,0
SCGCQ03103,C,Integration 1,Server Specific,Severity 3,High,Re-open,OS-specific,RHEL,22-02-2023,28-02-2023,1,6,922,0
SCGCQ01543,E,Final Release,FW,Severity 4,High,Deferred,Product Request,Pre-Boot,26-12-2023,17-01-2024,1,22,615,0
SCGCQ01550,A,System Test,Driver,Severity 2,Medium,Deferred,,RHEL,24-09-2023,18-10-2023,1,24,708,0
SCGCQ03208,D,System Test,BIOS,Severity 3,High,In Progress,Driver,Pre-Boot,11-12-2023,27-01-2024,1,47,630,0
SCGCQ00961,C,Final Release,BIOS,Severity 4,High,Closed,OS-specific,Pre-Boot,16-12-2023,08-01-2024,1,23,625,0
SCGCQ00231,E,System Test,FW,Severity 2,High,Deferred,Change Request,RHEL,08-06-2023,09-07-2023,1,31,816,0
SCGCQ04846,D,Final Release,FW,Severity 2,Medium,In Progress,OS-specific,SLES,11-12-2023,,0,,630,0
SCGCQ02052,E,BST,Application,Severity 4,Low,Deferred,Change Request,Windows,07-11-2023,,0,,664,0
SCGCQ03801,E,System Test,BIOS,Severity 2,Low,Closed,OS-specific,Windows,01-12-2023,20-12-2023,1,19,640,0
SCGCQ00269,A,Integration 2,Server Specific,Severity 2,High,Open,FW Integration,Linux,12-01-2023,21-01-2023,1,9,963,0
SCGCQ00048,A,Final Release,FW,Severity 4,Low,Open,Driver,Pre-Boot,01-06-2023,30-06-2023,1,29,823,0
SCGCQ00770,C,Final Release,BIOS,Severity 1,Low,Open,FW Integration,RHEL,13-05-2023,,0,,842,0
SCGCQ00715,B,BST,FW,Severity 2,Low,In Progress,Driver,RHEL,07-11-2023,27-12-2023,1,50,664,0
SCGCQ03207,D,Integration 1,Application,Severity 4,Low,Deferred,Product Request,Windows,24-05-2023,01-06-2023,1,8,831,0
SCGCQ01729,A,Integration 1,Driver,Severity 4,Low,Closed,Change Request,Pre-Boot,30-05-2023,11-06-2023,1,12,825,0
SCGCQ00494,A,Integration 2,Driver,Severity 1,High,Re-open,FW Integration,Linux,26-08-2023,,0,,737,0
SCGCQ01902,A,Integration 1,Driver,Severity 4,Medium,Open,OS-specific,RHEL,02-12-2023,18-12-2023,1,16,639,0
SCGCQ03828,D,Final Release,Application,Severity 3,High,Re-open,Product Request,Pre-Boot,08-01-2023,,0,,967,0
SCGCQ03686,A,Integration 2,Application,Severity 4,Low,In Progress,OS-specific,Linux,19-07-2023,,0,,775,0
SCGCQ04552,A,System Test,FW,Severity 4,High,Open,OS-specific,SLES,15-12-2023,24-01-2024,1,40,626,0
SCGCQ03784,A,BST,FW,Severity 2,High,Re-open,,Ubuntu,16-05-2023,11-07-2023,1,56,839,0
SCGCQ04514,C,Integration 1,Driver,Severity 2,High,Deferred,Product Request,Linux,21-02-2023,05-04-2023,1,43,923,0
SCGCQ01410,D,BST,FW,Severity 1,Low,Re-open,Product Request,Ubuntu,15-06-2023,,0,,809,0
SCGCQ01303,E,BST,Application,Severity 2,Medium,Re-open,Driver,Windows,31-01-2023,06-02-2023,1,6,944,0
SCGCQ03143,E,BST,FW,Severity 1,Low,Closed,FW Integration,SLES,23-08-2023,13-09-2023,1,21,740,0
SCGCQ04012,C,Integration 2,Application,Severity 4,Medium,Re-open,Code Integration,RHEL,01-01-2023,,0,,974,0
SCGCQ03185,E,BST,FW,Severity 1,Low,Re-open,OS-specific,Windows,06-10-2023,13-11-2023,1,38,696,0
SCGCQ00954,A,System Test,BIOS,Severity 3,High,Re-open,OS-specific,Linux,15-06-2023,13-07-2023,1,28,809,0
SCGCQ04126,D,Final Release,FW,Severity 3,High,In Progress,FW Integration,Windows,12-09-2023,,0,,720,0
SCGCQ02479,D,Final Release,Server Specific,Severity 2,Low,Open,Change Request,Pre-Boot,25-05-2023,16-07-2023,1,52,830,0
SCGCQ04851,D,Final Release,Server Specific,Severity 2,Low,Deferred,Product Request,Ubuntu,30-05-2023,21-06-2023,1,22,825,0
SCGCQ03177,C,BST,BIOS,Severity 2,Medium,Deferred,Code Integration,Windows,02-02-2023,13-03-2023,1,39,942,0
SCGCQ02397,D,BST,BIOS,Severity 2,Medium,Deferred,Change Request,Linux,03-01-2023,22-01-2023,1,19,972,0
SCGCQ01217,B,Integration 1,FW,Severity 3,Medium,Open,Change Request,RHEL,21-11-2023,04-12-2023,1,13,650,0
SCGCQ02103,C,Integration 2,Server Specific,Severity 1,Medium,Deferred,Change Request,Ubuntu,04-01-2023,08-01-2023,1,4,971,0
SCGCQ04326,E,Integration 2,FW,Severity 3,High,In Progress,Change Request,RHEL,26-12-2023,20-02-2024,1,56,615,0
SCGCQ00145,C,Final Release,FW,Severity 1,High,In Progress,Change Request,Windows,23-11-2023,05-12-2023,1,12,648,0
SCGCQ03818,C,Integration 1,Server Specific,Severity 1,Medium,Closed,,SLES,02-01-2023,24-02-2023,1,53,973,0
SCGCQ03074,E,BST,Application,Severity 2,Low,In Progress,,Windows,06-10-2023,20-11-2023,1,45,696,0
SCGCQ03804,A,Integration 1,Application,Severity 1,High,Closed,Product Request,Pre-Boot,14-05-2023,30-05-2023,1,16,841,0
SCGCQ01619,A,BST,Driver,Severity 1,High,Open,OS-specific,Ubuntu,05-11-2023,09-11-2023,1,4,666,0
SCGCQ04106,D,Integration 2,Server Specific,Severity 3,Low,Open,FW Integration,Ubuntu,03-07-2023,07-08-2023,1,35,791,0
SCGCQ03058,C,Integration 1,Driver,Severity 2,Medium,Closed,Code Integration,SLES,12-12-2023,08-01-2024,1,27,629,0
SCGCQ03378,D,BST,Driver,Severity 2,Medium,In Progress,FW Integration,Ubuntu,30-07-2023,26-08-2023,1,27,764,0
SCGCQ03476,A,BST,Driver,Severity 1,Low,Deferred,Product Request,Ubuntu,28-11-2023,,0,,643,0
SCGCQ03987,C,Integration 2,FW,Severity 3,High,Open,Driver,Ubuntu,09-08-2023,23-08-2023,1,14,754,0
SCGCQ04085,B,Integration 1,BIOS,Severity 4,Low,Re-open,Code Integration,RHEL,04-07-2023,20-08-2023,1,47,790,0
SCGCQ02071,D,Final Release,Driver,Severity 3,Medium,Deferred,Product Request,SLES,28-07-2023,,0,,766,0
SCGCQ01758,A,BST,BIOS,Severity 1,Low,Deferred,OS-specific,SLES,22-10-2023,,0,,680,0
SCGCQ01048,E,Integration 2,Server Specific,Severity 3,Low,Open,OS-specific,Ubuntu,23-10-2023,07-12-2023,1,45,679,0
SCGCQ03644,A,Final Release,Driver,Severity 1,Medium,Deferred,FW Integration,Ubuntu,08-01-2023,26-02-2023,1,49,967,0
SCGCQ04601,E,Final Release,FW,Severity 2,High,Deferred,Code Integration,Ubuntu,12-07-2023,03-08-2023,1,22,782,0
SCGCQ00401,C,Final Release,Application,Severity 4,Medium,Open,Change Request,Pre-Boot,17-09-2023,08-10-2023,1,21,715,0
SCGCQ02246,E,Integration 2,FW,Severity 2,Medium,Closed,Code Integration,Linux,26-03-2023,30-04-2023,1,35,890,0
SCGCQ02221,A,System Test,Driver,Severity 3,Medium,Re-open,Product Request,Windows,28-06-2023,,0,,796,0
SCGCQ02766,E,Integration 1,Driver,Severity 3,Low,Deferred,Driver,Windows,20-01-2023,05-02-2023,1,16,955,0
SCGCQ03464,D,Integration 2,Driver,Severity 1,Low,Re-open,Change Request,RHEL,20-07-2023,02-08-2023,1,13,774,0
SCGCQ04762,C,Integration 1,FW,Severity 2,Medium,In Progress,Code Integration,Windows,22-05-2023,04-07-2023,1,43,833,0
SCGCQ00065,C,Final Release,Application,Severity 2,Low,Re-open,Product Request,RHEL,04-08-2023,08-09-2023,1,35,759,0
SCGCQ03610,D,Integration 1,BIOS,Severity 1,Low,Closed,Code Integration,Linux,08-06-2023,24-06-2023,1,16,816,0
SCGCQ04507,D,BST,BIOS,Severity 1,High,In Progress,FW Integration,Pre-Boot,28-05-2023,19-06-2023,1,22,827,0
SCGCQ01786,E,System Test,BIOS,Severity 3,Medium,Open,FW Integration,Ubuntu,23-12-2023,03-02-2024,1,42,618,0
SCGCQ02807,A,Final Release,Driver,Severity 3,High,Re-open,Code Integration,RHEL,15-02-2023,11-03-2023,1,24,929,0
SCGCQ01740,B,System Test,FW,Severity 1,High,Deferred,Code Integration,SLES,11-01-2023,22-01-2023,1,11,964,0
SCGCQ00287,C,System Test,BIOS,Severity 1,Medium,Re-open,Driver,Windows,30-08-2023,24-09-2023,1,25,733,0
SCGCQ01157,A,Integration 2,Driver,Severity 4,Medium,Re-open,FW Integration,Linux,01-03-2023,23-03-2023,1,22,915,0
SCGCQ04990,C,Integration 2,BIOS,Severity 3,Low,Re-open,OS-specific,Windows,10-03-2023,29-04-2023,1,50,906,0
SCGCQ04224,E,Final Release,FW,Severity 3,Medium,Open,Product Request,RHEL,25-04-2023,24-06-2023,1,60,860,0
SCGCQ01141,E,Final Release,Server Specific,Severity 2,Medium,Re-open,Code Integration,SLES,17-08-2023,29-08-2023,1,12,746,0
SCGCQ02428,C,Final Release,Driver,Severity 3,Low,Open,FW Integration,Windows,11-04-2023,,0,,874,0
